Light,Spiders
0,23
0,19
1,15
1,7
0,10
1,6
0,7
1,4
0,7
1,10
0,21
1,24
0,15
1,21
0,9
1,14
0,20
0,20
1,5
0,5
1,6
0,16
1,11
1,6
0,15
1,7
0,7
1,5
0,3
1,4
0,15
1,17
1,4
0,28
1,10
0,7
1,5
0,16
1,10
0,10
1,9
0,14
1,16
0,9
1,12
0,11
1,11
0,6
1,11
0,18
0,16
1,6
0,18
1,6
0,5
1,4
0,19
1,5
0,9
1,5
0,15
1,13
0,27
1,13
0,14
1,10
0,16
1,9
0,11
1,7
0,10
1,12
0,20
1,14
0,18
1,14
0,13
1,13
0,18
0,9
1,4
1,15
0,13
1,15
0,12
1,12
0,22
1,17
